,Historical population data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Measure: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time horizon: Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Combined unit of measure: Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Time period,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
,,"76,030,535","77,689,757","79,339,498","80,970,606","82,579,032","84,169,571","85,748,742","87,312,337","88,850,856","90,362,709","91,843,905","93,294,783","94,720,541","96,116,960","97,482,584","98,785,275","100,105,299","101,493,987","102,890,474","104,272,444","105,669,369","107,155,391","108,744,845","110,405,454","112,095,388","113,748,671","115,367,452","116,935,670","118,453,929","119,936,411","121,347,800","122,715,165","124,041,731","125,327,797","126,577,691","127,792,286","128,972,439","130,118,356",
,Reference area: Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"14,491,629","14,572,280","14,665,037","14,760,092","14,848,906","14,951,510","15,069,799","15,184,163","15,290,368","15,382,834","15,459,004","15,530,500","15,610,650","15,707,205","15,812,085","15,925,505","16,046,182","16,148,921","16,225,303","16,281,777","16,319,871","16,346,096","16,381,696","16,445,590","16,530,387","16,615,390","16,693,074","16,754,963","16,804,430","16,865,008","16,939,925","17,030,314","17,131,295","17,231,622","17,344,876","17,441,500","17,533,048","17,703,092",
,Reference area: New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"3,298,050","3,308,310","3,327,785","3,343,680","3,357,535","3,390,085","3,495,100","3,531,700","3,572,200","3,620,000","3,673,400","3,732,000","3,781,300","3,815,000","3,835,100","3,857,700","3,880,500","3,948,500","4,027,200","4,087,500","4,133,900","4,184,600","4,223,800","4,259,800","4,302,600","4,350,700","4,384,000","4,408,100","4,442,100","4,516,500","4,609,400","4,714,100","4,813,600","4,900,600","4,979,200","5,090,200","5,111,400","5,124,100",
,Reference area: Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4,152,518","4,167,357","4,186,905","4,209,489","4,226,909","4,241,476","4,261,738","4,286,397","4,311,984","4,336,614","4,359,187","4,381,339","4,405,158","4,431,465","4,461,915","4,490,973","4,513,747","4,538,157","4,564,856","4,591,909","4,623,293","4,660,673","4,709,156","4,768,215","4,828,716","4,889,253","4,953,089","5,018,574","5,080,171","5,137,427","5,189,898","5,236,152","5,276,965","5,311,916","5,347,893","5,379,472","5,408,320","5,457,129",
,Reference area: Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"37,202,981","37,455,681","37,663,756","37,862,063","37,962,808","38,030,500","38,108,500","38,173,500","38,221,000","38,252,000","38,274,500","38,289,000","38,292,000","38,283,500","38,270,000","38,258,478","38,248,076","38,232,301","38,195,177","38,180,249","38,161,313","38,132,277","38,115,967","38,115,909","38,153,389","38,516,689","38,525,670","38,533,789","38,502,396","38,483,957","38,454,576","38,426,809","38,422,346","38,413,139","38,386,476","38,354,173","38,162,224","37,827,355",
,Reference area: Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
